,subject,passive,target,tone,frequency,dB,sub_num,passive_order,accuracy
238,10,False,280.0,280,279.7202797202797,-1.1781063698790173,10,2,high
239,10,True,,280,279.7202797202797,3.063070538526432,10,2,high
240,11,False,130.0,280,279.7202797202797,4.389155281662881,11,1,high
241,11,False,200.0,280,279.7202797202797,4.498075814813833,11,1,high
242,11,False,280.0,280,279.7202797202797,1.2930941581729831,11,1,high
243,11,True,,280,279.7202797202797,1.298927938115221,11,1,high
244,12,False,130.0,280,279.7202797202797,2.787248883108256,12,2,low
245,12,False,200.0,280,279.7202797202797,1.4879760437624832,12,2,low
246,12,False,280.0,280,279.7202797202797,-3.602562502435611,12,2,low
247,12,True,,280,279.7202797202797,6.747492495954365,12,2,low
248,13,False,130.0,280,279.7202797202797,1.5026019299154612,13,1,high
249,13,False,200.0,280,279.7202797202797,1.4215013129950458,13,1,high
250,13,False,280.0,280,279.7202797202797,1.3118548565265753,13,1,high
251,13,True,,280,279.7202797202797,3.795244346765228,13,1,high
252,14,False,130.0,280,279.7202797202797,-3.7591317850403225,14,2,high
253,14,False,200.0,280,279.7202797202797,-0.2985713639494048,14,2,high
254,14,False,280.0,280,279.7202797202797,-1.580140360247805,14,2,high
255,14,True,,280,279.7202797202797,2.482922230256317,14,2,high
256,15,False,130.0,280,279.7202797202797,2.555854644727983,15,1,high
257,15,False,200.0,280,279.7202797202797,4.900161044568129,15,1,high
258,15,False,280.0,280,279.7202797202797,3.5261878441870182,15,1,high
259,15,True,,280,279.7202797202797,5.023518579251586,15,1,high
260,16,False,130.0,280,279.7202797202797,-0.4080209978871207,16,2,low
261,16,False,200.0,280,279.7202797202797,1.371953110217644,16,2,low
262,16,False,280.0,280,279.7202797202797,0.839347619529172,16,2,low
263,16,True,,280,279.7202797202797,7.629852977714496,16,2,low
264,18,False,130.0,280,279.7202797202797,1.635230145751906,18,2,high
265,18,False,200.0,280,279.7202797202797,0.7320627052240822,18,2,high
266,18,False,280.0,280,279.7202797202797,3.1433160479726747,18,2,high
267,18,True,,280,279.7202797202797,3.205828800526368,18,2,high
268,19,False,130.0,280,279.7202797202797,8.45861386897963,19,1,high
269,19,False,200.0,280,279.7202797202797,2.225595015405735,19,1,high
270,19,False,280.0,280,279.7202797202797,5.586961851721018,19,1,high
271,19,True,,280,279.7202797202797,10.505306888951663,19,1,high
272,20,False,130.0,280,279.7202797202797,2.5216765709297158,20,2,high
273,20,False,200.0,280,279.7202797202797,-2.853818341965339,20,2,high
274,20,False,280.0,280,279.7202797202797,1.627216868975304,20,2,high
275,20,True,,280,279.7202797202797,7.650307591537451,20,2,high
276,21,False,130.0,280,279.7202797202797,4.395889859052609,21,1,low
277,21,False,200.0,280,279.7202797202797,3.0751963457540583,21,1,low
278,21,False,280.0,280,279.7202797202797,3.180952609745496,21,1,low
279,21,True,,280,279.7202797202797,7.296159796162332,21,1,low
280,22,False,130.0,280,279.7202797202797,6.560473708300956,22,2,low
281,22,False,200.0,280,279.7202797202797,0.8289843607308607,22,2,low
282,22,False,280.0,280,279.7202797202797,2.6873733704463563,22,2,low
283,22,True,,280,279.7202797202797,5.75135802453373,22,2,low
284,23,False,130.0,280,279.7202797202797,1.5871443244468004,23,1,low
285,23,False,200.0,280,279.7202797202797,-3.322262087486044,23,1,low
286,23,False,280.0,280,279.7202797202797,3.210334393921392,23,1,low
287,23,True,,280,279.7202797202797,4.302663836366476,23,1,low
288,24,False,130.0,280,279.7202797202797,3.823788597324049,24,2,low
289,24,False,200.0,280,279.7202797202797,-0.1757112543481873,24,2,low
290,24,False,280.0,280,279.7202797202797,-0.5346005827675494,24,2,low
291,24,True,,280,279.7202797202797,8.919054312230383,24,2,low
292,25,False,130.0,280,279.7202797202797,3.851888638604372,25,1,low
293,25,False,200.0,280,279.7202797202797,2.025602881296712,25,1,low
294,25,False,280.0,280,279.7202797202797,2.286161784897277,25,1,low
295,25,True,,280,279.7202797202797,5.7877551502957445,25,1,low
296,26,False,130.0,280,279.7202797202797,3.010958861645684,26,2,low
297,26,False,200.0,280,279.7202797202797,1.6410807890213588,26,2,low
298,26,False,280.0,280,279.7202797202797,2.8139413095052945,26,2,low
299,26,True,,280,279.7202797202797,8.110986316630779,26,2,low
300,28,False,130.0,280,279.7202797202797,3.391260688232588,28,2,high
301,28,False,200.0,280,279.7202797202797,3.91176293559018,28,2,high
302,28,False,280.0,280,279.7202797202797,-2.682916941734512,28,2,high
303,28,True,,280,279.7202797202797,4.400989415195224,28,2,high
304,29,False,130.0,280,279.7202797202797,1.7398625823049487,29,1,low
305,29,False,200.0,280,279.7202797202797,-1.964958070378812,29,1,low
306,29,False,280.0,280,279.7202797202797,0.2203393412299308,29,1,low
307,29,True,,280,279.7202797202797,5.901904220032817,29,1,low
308,30,False,130.0,280,279.7202797202797,0.4882376215056954,30,2,low
309,30,False,200.0,280,279.7202797202797,-1.6256949013567836,30,2,low
310,30,False,280.0,280,279.7202797202797,2.0535132656751216,30,2,low
311,30,True,,280,279.7202797202797,2.971299410373777,30,2,low
